,name,country,eu_group,national_group,twitter,facebook,instagram,linkedin,email,Website,website,e-mail
197510,Jarosław Duda,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,jaroslawduda,peopleJarosław-Duda100001993695921,,,jaroslaw.duda@europarl.europa.eu,,,
99945,Lena Düpont,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,lenaduepontmdep,lenaduepont.eu,lenaduepont?hl=de,,lena.duepont@europarl.europa.eu,http://www.lena-duepont.eu,,
198329,Estrella Durá Ferrandis,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,estrella_dura,estrelladuramep,estrella.duraferrandis,,estrella.dura@europarl.europa.eu,,,
124693,Pascal Durand,France,Renew Europe Group,Liste Renaissance,,,,,,,,
197766,Lucia Ďuriš Nicholsonová,Slovakia,Renew Europe Group,Independent,LNicholsonova,lucianicholsonovaverivzdravyrozum,lucia_duris_nicholsonova,,lucia.durisnicholsonova@europarl.europa.eu,,,
124873,Angel Dzhambazki,Bulgaria,European Conservatives and Reformists Group,VMRO,,,,,,,,
28226,Christian Ehler,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,,ehler,,,christian.ehler@europarl.europa.eu,https://ehler.eu/,,
96725,Bas Eickhout,Netherlands,Group of the Greens/European Free Alliance,GroenLinks,BasEickhout,bas.eickhout,,,bas.eickhout@europarl.europa.eu,https://groenlinks.nl/mensen/bas-eickhout,,
209091,Cyrus Engerer,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista,engerer,engerer.cyrus,engerer,cyrusengerer,cyrus.engerer@europarl.europa.eu,http://cyrusengerer.com/,,
96852,Cornelia Ernst,Germany,The Left group in the European Parliament - GUE/NGL,DIE LINKE.,ernstcornelia?lang=en,,,,cornelia.ernst@europarl.europa.eu,,,
197430,Engin Eroglu,Germany,Renew Europe Group,Freie Wähler,,,,,,,,
96842,Ismail Ertug,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,,,,,,,,
96811,Rosa Estaràs Ferragut,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,,,rosaestaras,,rosa.estaras@europarl.europa.eu,,,
124779,Eleonora Evi,Italy,Group of the Greens/European Free Alliance,Independent,,,,,,,,
197535,Agnès Evren,France,Group of the European People's Party (Christian Democrats),Les Républicains,,,,,,,,
96911,Tanja Fajon,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialni demokrati,tfajon,tanja.fajon,,,tanja.fajon@europarl.europa.eu,http://www.tanja-fajon.eu,,
197649,Gheorghe Falcă,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,,falca.gheorghe.7,gheorghe_falca,,gheorghe.falca@europarl.europa.eu,,,
197589,Laurence Farreng,France,Renew Europe Group,Mouvement Démocrate,,,,,,,,
1917,Markus Ferber,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.,MarkusFerber,MarkusFerberEU,,markus-ferber-6a1aa912,markus.ferber@europarl.europa.eu,http://www.markus-ferber.de/,,
96899,José Manuel Fernandes,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata,JMFernandesEU,jmfernandes.eu,jmfernandes.eu,,josemanuel.fernandes@europarl.europa.eu,http://www.josemanuelfernandes.eu,,
125046,Jonás Fernández,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
192634,Giuseppe Ferrandino,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,giosiferrandino,giosiferrandino,,,giuseppe.ferrandino@europarl.europa.eu,http://www.giosiferrandino.eu,,
124833,Laura Ferrara,Italy,Non-attached Members,Movimento 5 Stelle,,,,,,,,
96706,João Ferreira,Portugal,The Left group in the European Parliament - GUE/NGL,Partido Comunista Português,joao_ferreira33,Jo%C3%A3o-Ferreira-265470557318917,,,joao.ferreira@europarl.europa.eu,,,
197480,Nicolaus Fest,Germany,Identity and Democracy Group,Alternative für Deutschland,,,,,nicolaus.fest@europarl.europa.eu,,,
96810,Carlo Fidanza,Italy,European Conservatives and Reformists Group,Fratelli d'Italia,,,,,,,,
197607,Pietro Fiocchi,Italy,European Conservatives and Reformists Group,Fratelli d'Italia,FiocchiPietro,On.PietroFiocchi,pietro_fiocchi,,pietro.fiocchi@europarl.europa.eu,https://www.pietrofiocchi.info,,
4465,Raffaele Fitto,Italy,European Conservatives and Reformists Group,Fratelli d'Italia,raffaelefitto,fittoraffaele,raffaelefitto,,raffaele.fitto@europarl.europa.eu,,,
197720,Frances Fitzgerald,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael Party,,,,,,,,
124985,Luke Ming Flanagan,Ireland,The Left group in the European Parliament - GUE/NGL,Independent,lukeming,Lukemingflanagan,lukemingflanagan,,lukeming.flanagan@europarl.europa.eu,https://www.lukemingflanagan.ie,,
197419,Valter Flego,Croatia,Renew Europe Group,Istarski demokratski sabor - Dieta democratica istriana,,,,,Valter.Flego@europarl.europa.eu,,,
28353,Anna Fotyga,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,anna.fotyga@europarl.europa.eu,,,
197414,Loucas Fourlas,Cyprus,Group of the European People's Party (Christian Democrats),Democratic Rally,loucas_fourlas,fourlasloucas,loucas.fourlas,,loucas.fourlas@europarl.europa.eu,,,
198490,Emmanouil Fragkos,Greece,European Conservatives and Reformists Group,Elliniki Lusi-Greek Solution,e_fragkos?lang=en,pagescategoryPoliticianΕμμανουήλ-Φράγκος-Φραγκούλης-Emmanouil-Fragkos-113822013362486,,,emmanouilfragkos@gmail]tod[com:otliam.eu,,,
197513,Tomasz Frankowski,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,TFrankowski21,tfrankowski21,,,tomasz.frankowski@europarl.europa.eu,,,
197455,Cindy Franssen,Belgium,Group of the European People's Party (Christian Democrats),Christen-Democratisch & Vlaams,franssencindy,CindyFranssen76,cindy.franssen.90,,cindy.franssen@europarl.europa.eu,http://www.cindyfranssen.be,,
193273,Romeo Franz,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,,,,,,,,
106936,Daniel Freund,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,daniel_freund,EuropaDaniel,europafreund,,daniel.freund@europarl.europa.eu,http://www.danielfreund.eu,,
197391,Heléne Fritzon,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna,,,,,helene.fritzon@europarl.europa.eu,,,
101585,Niels Fuglsang,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet,,,,,,,,
197795,Mario Furore,Italy,Non-attached Members,Movimento 5 Stelle,,,,,,,,
197555,Søren Gade,Denmark,Renew Europe Group,"Venstre, Danmarks Liberale Parti",,,,,soren.gade@europarl.europa.eu,,,
2341,Michael Gahler,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,gahler_michael,michael.gahler.77,,michael-gahler-09ba0b3b,michael.gahler@europarl.europa.eu,http://www.michael-gahler.eu,,
28150,Kinga Gál,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,,,,,kinga.gal@europarl.europa.eu,https://galkinga.hu/en/,,
197702,Lina Gálvez Muñoz,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
197632,Claudia Gamon,Austria,Renew Europe Group,NEOS – Das Neue Österreich,,,,,,,,
197582,Gianna Gancia,Italy,Identity and Democracy Group,Lega,giannagancia?lang=en,giannagancia,,,gianna.gancia@europarl.europa.eu,https://giannagancia.it/,,
197717,Ibán García Del Blanco,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
1992,José Manuel García-Margallo Y Marfil,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,,,,,,,,
197742,Isabel García Muñoz,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
28298,Iratxe García Pérez,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
96991,Eider Gardiazabal Rubial,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
197554,Luis Garicano,Spain,Renew Europe Group,Ciudadanos – Partido de la Ciudadanía,,,,,,,,
197628,Jean-Paul Garraud,France,Identity and Democracy Group,Rassemblement national,,,,,jean-paul.garraud@europarl.europa.eu,,,
1913,Evelyne Gebhardt,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,egebhardtMdEP,pagesEvelyne-Gebhardt253121031481890?fref=ts,evelynegebhardtmep,,evelyne.gebhardt@europarl.europa.eu,http://www.evelyne-gebhardt.de,,
183916,Alexandra Geese,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,alexandrageese,,,,alexandra.geese@europarl.europa.eu,https://alexandrageese.eu/,,
96833,Jens Geier,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,,,,,,,,
197794,Chiara Gemma,Italy,Non-attached Members,Movimento 5 Stelle,,ChiaraGemmaM5S,picdeer.comchiaragemma_m5s,,chiara.gemma@europarl.europa.eu,,,
197416,Giorgos Georgiou,Cyprus,The Left group in the European Parliament - GUE/NGL,Progressive Party of Working People - Left - New Forces,,,,,giorgos.georgiou@europarl.europa.eu,,,
197819,Alexis Georgoulis,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left,AlexisMep,alexis.georgoulis.315,georgoulisalexis_ep?hl=en,,alexis.georgoulis@europarl.europa.eu,,,
197436,Helmut Geuking,Germany,Group of the European People's Party (Christian Democrats),Familien-Partei Deutschlands,,helmut.geuking,,,helmut.geuking@europarl.europa.eu,http://www.wählefamilie.de,,
209140,Vlad Gheorghe,Romania,Renew Europe Group,Uniunea Salvați România,vladdangheorghe,vlad.gheorghe.usr,vlad.dan.gheorghe,,vlad.gheorghe@europarl.europa.eu,https://vladgheorghe.ro/?lang=en,,
197804,Dino Giarrusso,Italy,Non-attached Members,Movimento 5 Stelle,,,,,,,,
96730,Sven Giegold,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,,,,,sven.giegold@europarl.europa.eu,,,
124807,Jens Gieseke,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,,gieseke.europa,jens.gieseke,,jens.gieseke@europarl.europa.eu,https://jens-gieseke.de/,,
202036,Sunčana Glavak,Croatia,Group of the European People's Party (Christian Democrats),Hrvatska demokratska zajednica,SuncanaGlavak,SGlavak,suncanaglavak,,suncana.glavak@europarl.europa.eu,,,
197443,Andreas Glück,Germany,Renew Europe Group,Freie Demokratische Partei,,,glueckfuereuropa,,andreas.glueck@europarl.europa.eu,https://www.andreas-glueck.com/,,
197694,Raphaël Glucksmann,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Place publique,rglucks1,raphael.glucksmann,raphaelglucksmann,,raphael.glucksmann@europarl.europa.eu,,,
840,Charles Goerens,Luxembourg,Renew Europe Group,Parti démocratique,,,,,,,,
197728,Mónica Silvana González,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
197718,Nicolás González Casares,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
125027,Esteban González Pons,Spain,Group of the European People's Party (Christian Democrats),Partido Popular,gonzalezpons,pagesEsteban-Gonz%C3%A1lez-Pons598994066850758,egonzalezpons,,esteban.gonzalezpons@europarl.europa.eu,,,
204419,Sandro Gozi,France,Renew Europe Group,Liste Renaissance,,sandrogoziufficiale,,,sandro.gozi@europarl.europa.eu,,,
125025,Marcel De Graaff,Netherlands,Identity and Democracy Group,Partij voor de Vrijheid,,,,,marcel.degraaff@europarl.europa.eu,,,
197799,Valentino Grant,Italy,Identity and Democracy Group,Lega,ValentinoGrant,,,,valentino.grant@europarl.europa.eu,,,
124785,Maria Grapini,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Puterii Umaniste,mariagrapini?lang=fr,MariaGrapini,,,maria.grapini@europarl.europa.eu,,,
197549,Markéta Gregorová,Czechia,Group of the Greens/European Free Alliance,PIRÁTI,MarketkaG,gregorova.marketka,ruzovarebelka,,marketa.gregorova@europarl.europa.eu,,,
94649,Catherine Griset,France,Identity and Democracy Group,Rassemblement national,,,,,,,,
197780,Bart Groothuis,Netherlands,Renew Europe Group,Volkspartij voor Vrijheid en Democratie,@bgroothuis,,,nl.groothuisbart,bart.groothuis@europarl.europa.eu,,,
197452,Klemen Grošelj,Slovenia,Renew Europe Group,Lista Marjana Šarca,,,,,klemen.groselj@europarl.europa.eu,,,
197557,Christophe Grudler,France,Renew Europe Group,Mouvement Démocrate,,,,,,,,
204420,Claude Gruffat,France,Group of the Greens/European Free Alliance,Europe Écologie,,,,,claude.gruffat@europarl.europa.eu,,,
197618,Elisabetta Gualmini,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,,,,,elisabetta.gualmini@europarl.europa.eu,,,
197645,Francisco Guerreiro,Portugal,Group of the Greens/European Free Alliance,Independente,,,,,,,,
197543,Bernard Guetta,France,Renew Europe Group,Liste Renaissance,,,,,bernard.guetta@europarl.europa.eu,http://www.bernard-guetta.eu,,
96952,Sylvie Guillaume,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste,,,,,,,,
88715,José Gusmão,Portugal,The Left group in the European Parliament - GUE/NGL,Bloco de Esquerda,joseggusmao,josegusmao76,gusmao.jose,,jose.gusmao@europarl.europa.eu,,,
124991,Jytte Guteland,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna,JytteGuteland,jytte.guteland,,,jytte.guteland@europarl.europa.eu,,,
198063,Márton Gyöngyösi,Hungary,Non-attached Members,Jobbik Magyarországért Mozgalom,GyongyosiMarton,gyongyosi.jobbik,,,marton.gyongyosi@europarl.europa.eu,,,
96830,Enikő Győri,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,GyoriEniko,,,,eniko.gyori@europarl.europa.eu,https://gyori.fidesz-eu.hu/hu/,,
23816,András Gyürk,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,,,,,andras.gyurk@europarl.europa.eu,https://gyurkandras.hu/hu/,,
197444,Svenja Hahn,Germany,Renew Europe Group,Freie Demokratische Partei,,,,,,,,
197457,Henrike Hahn,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,,,,,,,,
198176,Roman Haider,Austria,Identity and Democracy Group,Freiheitliche Partei Österreichs,,,,,roman.haider@europarl.europa.eu,,,
34578,Robert Hajšel,Slovakia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Independent,RobertHajsel,roberthajselEU,robert.hajsel,,robert.hajsel@europarl.europa.eu,https://www.roberthajsel.sk,,
197596,Teuvo Hakkarainen,Finland,Identity and Democracy Group,Perussuomalaiset,,,,,teuvo.hakkarainen@europarl.europa.eu,,,
197514,Andrzej Halicki,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,,,,,,,,
193419,Christophe Hansen,Luxembourg,Group of the European People's Party (Christian Democrats),Parti chrétien social luxembourgeois,CHansenEU,ChristopheHansenEU,,,christophe.hansen@europarl.europa.eu,https://www.christophehanseneu.lu/fr/,,
96752,Martin Häusling,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,MartinHaeusling,martin.hausling,,,martin.haeusling@europarl.europa.eu,http://www.martin-haeusling.eu/,,
2054,Heidi Hautala,Finland,Group of the Greens/European Free Alliance,Vihreä liitto,,,,,heidi.hautala@europarl.europa.eu,,,
197646,Mircea-Gheorghe Hava,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,,mirceahava,,,mircea.hava@europarl.europa.eu,,,
135511,Valérie Hayer,France,Renew Europe Group,La République en marche,,,,,,,,
125023,Anja Hazekamp,Netherlands,The Left group in the European Parliament - GUE/NGL,Partij voor de Dieren,,,,,,,,
197682,Hannes Heide,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Österreichs,HannesHeide,hannesheide.eu,hannes_heide,,hannes.heide@europarl.europa.eu,,,
197800,Eero Heinäluoma,Finland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti,,heinaluoma,,,eero.heinaluoma@europarl.europa.eu,http://www.eeroheinaluoma.fi,,
197412,Niclas Herbst,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,,niclas.herbst.eu,niclasherbst,,niclas.herbst@europarl.europa.eu,,,
197459,Pierrette Herzberger-Fofana,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,,pierrette.herzbergerfofana,,,pierrette.herzberger-fofana@europarl.europa.eu,,,
124895,Krzysztof Hetman,Poland,Group of the European People's Party (Christian Democrats),Polskie Stronnictwo Ludowe,,,,,,,,
124586,Balázs Hidvéghi,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,BalazsHidveghi,hidveghibalazs,hidveghibalazs,,balazs.hidveghi@europarl.europa.eu,https://hidveghi.fidesz-eu.hu/hu/,,
197526,Martin Hlaváček,Czechia,Renew Europe Group,ANO 2011,,,,,martin.hlavacek@europarl.europa.eu,,,
96780,Monika Hohlmeier,Germany,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.,mhohlmeier,mhohlmeier,monika.hohlmeier,,monika.hohlmeier@europarl.europa.eu,http://www.monika.hohlmeier.de/,,
197770,Martin Hojsík,Slovakia,Renew Europe Group,Progresívne Slovensko,,,,,,,,
197398,Pär Holmgren,Sweden,Group of the Greens/European Free Alliance,Miljöpartiet de gröna,parholmgren,parholmgrenmp,,,par.holmgren@europarl.europa.eu,,,
124715,György Hölvényi,Hungary,Group of the European People's Party (Christian Democrats),Kereszténydemokrata Néppárt,,,,,,,,
122978,Alicia Homs Ginel,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,,,,,,,,
218349,Michiel Hoogeveen,Netherlands,European Conservatives and Reformists Group,JA21,mphoogeveen,,,nl.mphoogeveen,michiel.hoogeveen@europarl.europa.eu,,,
5565,Brice Hortefeux,France,Group of the European People's Party (Christian Democrats),Les Républicains,bricehortefeux,,,,brice.hortefeux@europarl.europa.eu,,,
197846,Ivo Hristov,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Bulgarian Socialist Party,,,,,ivo.hristov@europarl.europa.eu,,,
96779,Danuta Maria Hübner,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,,,,,,,,
197594,Laura Huhtasaari,Finland,Identity and Democracy Group,Perussuomalaiset,laurahuhtasaari,laurahuhtasaaren,,,laura.huhtasaari@europarl.europa.eu,,,
58789,Jan Huitema,Netherlands,Renew Europe Group,Volkspartij voor Vrijheid en Democratie,jhuitema,janhuitemamep,janhuitema,,jan.huitema@europarl.europa.eu,http://www.janhuitema.nl,,
197624,Ivars Ijabs,Latvia,Renew Europe Group,Attīstībai/Par!,ijabs,ijabs.ivars,,,ivars.ijabs@europarl.europa.eu,,,
197392,Evin Incir,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna,,,,,evin.incir@socialdemokraterna]tod[se:otliam.eu,,,
28266,Sophia In 'T Veld,Netherlands,Renew Europe Group,Democraten 66,,,,,,,,
96740,Yannick Jadot,France,Group of the Greens/European Free Alliance,Europe Écologie,yjadot,yannick.jadot,,,yannick.jadot@europarl.europa.eu,http://www.yannickjadot.fr/,,
96772,Peter Jahr,Germany,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,peter_jahr,DrPeterJahr,,,peter.jahr@europarl.europa.eu,http://www.peter-jahr.de/,,
197837,Stasys Jakeliūnas,Lithuania,Group of the Greens/European Free Alliance,Independent,,,,,stasys.jakeliunas@europarl.europa.eu,,,
197516,Patryk Jaki,Poland,European Conservatives and Reformists Group,Solidarna Polska Zbigniewa Ziobro,,,,,patryktomasz.jaki@europarl.europa.eu,,,
124770,Jean-François Jalkh,France,Identity and Democracy Group,Rassemblement national,JFJalkh,jfjalkh,,,jean-francois.jalkh@europarl.europa.eu,,,
189065,France Jamet,France,Identity and Democracy Group,Rassemblement national,francejamet,JametFrance,,,france.jamet@europarl.europa.eu,https://francejamet.com/,,
28141,Lívia Járóka,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,JarokaLivia,JarokaLivia,jarokalivia,,livia.jaroka@europarl.europa.eu,https://jaroka.fidesz-eu.hu/en/,,
197517,Adam Jarubas,Poland,Group of the European People's Party (Christian Democrats),Polskie Stronnictwo Ludowe,JarubasAdam,JarubasAdam,jarubasadam,,adam.jarubas@europarl.europa.eu,https://jarubasadam.pl/,,
112747,Romana Jerković,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socijaldemokratska partija Hrvatske,,,,,,,,
125021,Agnes Jongerius,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partij van de Arbeid,,,,,,,,
197627,Virginie Joron,France,Identity and Democracy Group,Rassemblement national,,,,,,,,
197447,Irena Joveva,Slovenia,Renew Europe Group,Lista Marjana Šarca,,,,,,,,
197840,Rasa Juknevičienė,Lithuania,Group of the European People's Party (Christian Democrats),Tėvynės sąjunga-Lietuvos krikščionys demokratai,rjukneviciene,rasa.jukneviciene,rasa_jukneviciene,,rasa.jukneviciene@europarl.europa.eu,https://elpnariai.lt/,,
197518,Krzysztof Jurgiel,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,krzysztof.jurgiel,,,krzysztof.jurgiel@europarl.europa.eu,,,
197767,Eugen Jurzyca,Slovakia,European Conservatives and Reformists Group,Sloboda a Solidarita,EugenJurzyca,eugen.jurzyca.sk,eugenjurzyca,,eugen.jurzyca@europarl.europa.eu,http://eugenjurzyca.sk/,,
197626,Herve Juvin,France,Identity and Democracy Group,Rassemblement national,,,,,herve.juvin@europarl.europa.eu,,,
125109,Eva Kaili,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Panhellenic Socialist Movement - Olive Tree,,,,,,,,
96771,Jarosław Kalinowski,Poland,Group of the European People's Party (Christian Democrats),Polskie Stronnictwo Ludowe,,JaroslawKalinowski,jaroslaw_kalinowski,,jaroslaw.kalinowski@europarl.europa.eu,http://www.kalinowski.pl/,,
197491,Marina Kaljurand,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sotsiaaldemokraatlik Erakond,,,,,,,,
96934,Sandra Kalniete,Latvia,Group of the European People's Party (Christian Democrats),"Partija ""VIENOTĪBA""",kalniete,kalniete.sandra,sandrakalnietelv,,sandra.kalniete@europarl.europa.eu,,,
96837,Petra Kammerevert,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,,,,,petra.kammerevert@europarl.europa.eu,,,
197839,Radan Kanev,Bulgaria,Group of the European People's Party (Christian Democrats),Democrats for Strong Bulgaria,rmkanev,radan.kanev,rmkanev,,radan.kanev@europarl.europa.eu,,,
197469,Assita Kanko,Belgium,European Conservatives and Reformists Group,Nieuw-Vlaamse Alliantie,,,,,,,,
4246,Othmar Karas,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei,othmar_karas,othmar.karas,othmar_karas,,othmar.karas@europarl.europa.eu,http://www.othmar-karas.at,,
197585,Pierre Karleskind,France,Renew Europe Group,La République en marche,Pierre_Ka,pierrekarleskindMEP,pierre_karleskind,,pierre.karleskind@europarl.europa.eu,,,
197401,Karin Karlsbro,Sweden,Renew Europe Group,Liberalerna,KarinKarlsbro,karlsbroliberal,karlsbroliberalerna,,karin.karlsbro@europarl.europa.eu,https://karinkarlsbro.eu/,,
124887,Karol Karski,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,karol.karski@europarl.europa.eu,,,
191693,Elsi Katainen,Finland,Renew Europe Group,Suomen Keskusta,,,,,,,,
125068,Manolis Kefalogiannis,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia,M_Kefalogiannis,Kefalogiannis.Man,kefalogiannis_manolis,,manolis.kefalogiannis@europarl.europa.eu,http://www.kefalogiannis.gr/,,
197818,Billy Kelleher,Ireland,Renew Europe Group,Fianna Fáil Party,,,,,billy.kelleher@europarl.europa.eu,,,
22858,Fabienne Keller,France,Renew Europe Group,Agir - La Droite constructive,,,,,,,,
96734,Ska Keller,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,SkaKeller,,,,franziska.keller@europarl.europa.eu,http://www.skakeller.de,,
96668,Seán Kelly,Ireland,Group of the European People's Party (Christian Democrats),Fine Gael Party,,,,,,,,
197519,Beata Kempa,Poland,European Conservatives and Reformists Group,Solidarna Polska Zbigniewa Ziobro,,,,,,,,
197415,Niyazi Kizilyürek,Cyprus,The Left group in the European Parliament - GUE/NGL,Progressive Party of Working People - Left - New Forces,,,,,niyazi.kizilyurek@europarl.europa.eu,,,
197520,Izabela-Helena Kloc,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,IzabelaKloc,izabela.kloc,klocizabela,,izabela.kloc@europarl.europa.eu,,,
197528,Ondřej Knotek,Czechia,Renew Europe Group,ANO 2011,,,,,ondrej.knotek@ep.europa.eu,,,
197570,Peter Kofod,Denmark,Identity and Democracy Group,Dansk Folkeparti,,,,,peter.kofod@europarl.europa.eu,,,
197523,Łukasz Kohut,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Wiosna,,,,,,,,
197406,Arba Kokalari,Sweden,Group of the European People's Party (Christian Democrats),Moderaterna,arbakokalari,ArbaKokalari,arbakokalari,,arba.kokalari@europarl.europa.eu,https://www.arbakokalari.eu/,,
197743,Petros Kokkalis,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left,,,,,,,,
197546,Marcel Kolaja,Czechia,Group of the Greens/European Free Alliance,PIRÁTI,piratkolaja?lang=en,PiratKolaja,piratkolaja,,marcel.kolaja@europarl.europa.eu,http://www.kolaja.eu,,
197438,Mislav Kolakušić,Croatia,Non-attached Members,-,,,,,mislav.kolakusic@europarl.europa.eu,,,
23699,Kateřina Konečná,Czechia,The Left group in the European Parliament - GUE/NGL,Komunistická strana Čech a Moravy,,,,,,,,
197740,Athanasios Konstantinou,Greece,Non-attached Members,Independent,,,,,athanasios.konstantinou@europarl.europa.eu,,,
197525,Ewa Kopacz,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,,,,,,,,
197530,Joanna Kopcińska,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,,,,,joannamaria.kopcinska@europarl.europa.eu,,,
197445,Moritz Körner,Germany,Renew Europe Group,Freie Demokratische Partei,moritzkoerner,moritzkoernerfdp,moritz_koerner,,moritz.koerner@europarl.europa.eu,https://moritz-koerner.eu/,,
96829,Ádám Kósa,Hungary,Non-attached Members,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,adamkosamep,adamkosamep,,,adam.kosa@europarl.europa.eu,https://kosaadam.hu/hu/,,
